number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
38,,23:54.3,24:30.9,0 days 00:00:36.606153,2,8,32,,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,mixed,normal,,,1,,,,2,1,7,,,0.000183638,FAIL
39,3869.480225,24:30.9,25:05.0,0 days 00:00:34.139037,1,8,64,96,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,normal,,,,,,,,1,10,,,,0.000332317,COMPLETE
40,,25:05.0,25:44.7,0 days 00:00:39.617281,2,64,8,8,3,5,,,,,,,,,,,5,9,10,9,7,6,,,,,,,,,,,,,,,,,,,,,,,,,8,8,normal,mixed,,,,6,,,2,2,2,,,0.000215478,FAIL
41,658.71875,25:44.7,26:18.2,0 days 00:00:33.552910,3,32,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,normal,,,,,,,,1,6,,,,0.003611582,COMPLETE
42,3851.478516,26:18.2,26:52.7,0 days 00:00:34.462818,1,8,16,,2,3,,,,,,,,,,,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,normal,mixed,,,,3,,,2,1,10,,,0.000387075,COMPLETE
43,3413.121338,26:52.7,27:32.2,0 days 00:00:39.472963,2,128,64,8,3,3,,,,,,,,,,,8,9,8,5,9,4,10,8,4,,,,,,,,,,,,,,,,,,,,,,8,5,normal,mixed,,,,9,,,2,6,9,,,0.000142167,COMPLETE
44,371.915741,27:32.2,28:10.4,0 days 00:00:38.253433,4,128,,,1,2,,,,,,,,,,,9,2,6,8,6,5,10,,,,,,,,,,,,,,,,,,,,,,,,7,5,normal,mixed,normal,,,7,,,3,6,9,6,,0.000939174,COMPLETE
45,178.9957123,28:10.4,28:47.2,0 days 00:00:36.833554,4,96,16,32,3,5,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,normal,mixed,,,,2,,,2,5,4,,,0.005759053,COMPLETE
46,,28:47.2,29:27.4,0 days 00:00:40.186777,2,8,8,64,3,2,,,,,,,,,,,7,9,6,6,9,5,9,8,,,5,6,,,,,,,,,,,,,,,,,,,6,3,normal,mixed,mixed,normal,,8,2,,4,10,9,5,9,0.000177677,FAIL
47,,29:27.4,30:09.9,0 days 00:00:42.473627,2,32,,,1,4,3,4,4,8,7,10,2,,,,2,,,,,,,,,,2,7,9,,,,,,,,4,6,5,4,2,9,,,,,6,6,mixed,mixed,mixed,mixed,7,1,3,6,4,6,8,8,10,0.000725865,FAIL
