number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
2331,,23:30.3,25:13.8,0 days 00:01:43.553302,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006927747,FAIL
2332,,25:13.8,26:57.2,0 days 00:01:43.428631,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.009133178,FAIL
2333,,26:57.2,28:40.8,0 days 00:01:43.536888,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,9,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002675208,FAIL
2334,,28:40.8,30:24.4,0 days 00:01:43.601158,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,9,5,,0.002607068,FAIL
2335,,30:24.4,32:07.7,0 days 00:01:43.275071,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002580821,FAIL
2336,,32:07.7,33:51.1,0 days 00:01:43.409066,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006809391,FAIL
2337,,33:51.1,35:34.6,0 days 00:01:43.508210,3,96,96,,2,5,,,,,,,,,,,8,7,10,8,,,,,,,2,3,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008676178,FAIL
2338,,35:34.6,37:18.3,0 days 00:01:43.727998,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008969991,FAIL
2339,,37:18.3,39:01.8,0 days 00:01:43.455031,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006705235,FAIL
2340,,39:01.8,40:45.0,0 days 00:01:43.180008,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006656074,FAIL
2341,,40:45.0,42:28.4,0 days 00:01:43.441710,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,3,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008895203,FAIL
2342,,42:28.4,44:12.1,0 days 00:01:43.715268,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,3,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006785727,FAIL
2343,,44:12.1,45:55.4,0 days 00:01:43.259999,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,9,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008676248,FAIL
2344,,45:55.4,47:37.6,0 days 00:01:42.222512,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,9,,3,9,8,5,,0.006939037,FAIL
2345,,47:37.6,49:19.9,0 days 00:01:42.329325,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,4,10,10,3,7,8,,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,9,,3,9,8,5,,0.002583032,FAIL
2346,,49:19.9,51:03.4,0 days 00:01:43.498092,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,3,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.005930342,FAIL
2347,,51:03.4,52:47.1,0 days 00:01:43.619872,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006627905,FAIL
2348,,52:47.1,54:30.7,0 days 00:01:43.660962,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,4,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008912998,FAIL
2349,,54:30.7,56:14.8,0 days 00:01:44.094322,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002541378,FAIL
2350,,56:14.8,57:58.4,0 days 00:01:43.588427,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002566583,FAIL
2351,,57:58.4,59:42.1,0 days 00:01:43.637356,3,96,96,,2,5,,,,,,,,,,,10,7,9,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006580388,FAIL
2352,,59:42.1,01:25.7,0 days 00:01:43.629700,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.009034668,FAIL
2353,,01:25.7,03:09.5,0 days 00:01:43.781672,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008611137,FAIL
2354,,03:09.5,04:52.8,0 days 00:01:43.349848,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,9,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.007017299,FAIL
2355,,04:52.8,06:36.6,0 days 00:01:43.757695,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.00695334,FAIL
2356,,06:36.6,08:20.0,0 days 00:01:43.391666,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.009019107,FAIL
2357,,08:20.0,10:03.6,0 days 00:01:43.564566,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002915266,FAIL
2358,,10:03.6,11:44.1,0 days 00:01:40.512199,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,,,,,,,,,,,,3,6,normal,mixed,mixed,,,4,9,,3,9,8,5,,0.00686996,FAIL
2359,,11:44.1,13:26.9,0 days 00:01:42.800952,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,4,,,,,,2,2,6,4,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,5,10,,3,9,8,5,,0.006783395,FAIL
2360,,13:26.9,15:10.1,0 days 00:01:43.177298,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,9,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,6,,0.006845478,FAIL
2361,,15:10.1,16:53.4,0 days 00:01:43.351407,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008660462,FAIL
2362,,16:53.4,18:36.7,0 days 00:01:43.242745,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002655787,FAIL
2363,,18:36.7,20:21.3,0 days 00:01:44.666429,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002685296,FAIL
2364,,20:21.3,22:04.8,0 days 00:01:43.514670,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.003009959,FAIL
2365,,22:04.8,23:48.5,0 days 00:01:43.641611,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,9,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006772948,FAIL
2366,,23:48.5,25:32.3,0 days 00:01:43.835042,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006843081,FAIL
2367,,25:32.3,27:16.0,0 days 00:01:43.712914,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.009138467,FAIL
2368,,27:16.0,28:59.2,0 days 00:01:43.193241,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,8,8,5,,0.00697954,FAIL
2369,,28:59.2,30:43.1,0 days 00:01:43.872353,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008389029,FAIL
2370,,30:43.1,32:26.8,0 days 00:01:43.694800,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008750715,FAIL
2371,,32:26.8,34:09.6,0 days 00:01:42.801207,3,96,96,,2,5,,,,,,,,,,,10,7,9,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006828959,FAIL
2372,,34:09.6,35:53.0,0 days 00:01:43.345720,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008784787,FAIL
2373,,35:53.0,37:36.1,0 days 00:01:43.162377,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008143758,FAIL
2374,,37:36.1,39:18.9,0 days 00:01:42.801195,3,96,96,,2,5,,,,,,,,,,,10,7,10,7,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008483841,FAIL
2375,,39:18.9,41:00.8,0 days 00:01:41.814281,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,9,,3,9,8,5,,0.009098974,FAIL
2376,,41:00.8,42:43.9,0 days 00:01:43.092718,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,8,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008940836,FAIL
2377,,42:43.9,44:26.7,0 days 00:01:42.829750,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006674201,FAIL
2378,,44:26.7,46:10.1,0 days 00:01:43.430830,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,9,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006693142,FAIL
2379,,46:10.1,47:52.2,0 days 00:01:42.102446,3,96,96,,2,5,,,,,,,,,,,8,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008896042,FAIL
2380,,47:52.2,49:34.7,0 days 00:01:42.447749,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.00254661,FAIL
2381,,49:34.7,51:18.1,0 days 00:01:43.371750,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.007056047,FAIL
2382,,51:18.1,53:02.1,0 days 00:01:44.082601,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,4,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,5,10,,3,9,8,5,,0.006899827,FAIL
2383,,53:02.1,54:46.1,0 days 00:01:43.937790,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006734564,FAIL
2384,,54:46.1,56:30.1,0 days 00:01:43.961495,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,3,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006876193,FAIL
2385,,56:30.1,58:14.1,0 days 00:01:43.999761,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006764996,FAIL
2386,,58:14.1,59:57.5,0 days 00:01:43.400429,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,3,2,6,4,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002607972,FAIL
2387,,59:57.5,01:41.0,0 days 00:01:43.498967,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002854686,FAIL
2388,,01:41.0,03:24.6,0 days 00:01:43.673741,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,9,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008552281,FAIL
2389,,03:24.6,05:08.1,0 days 00:01:43.423014,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008687731,FAIL
2390,,05:08.1,06:51.8,0 days 00:01:43.740590,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002618967,FAIL
2391,,06:51.8,08:35.1,0 days 00:01:43.288500,3,96,96,,2,5,,,,,,,,,,,10,8,10,8,,,,,,,2,2,6,5,10,8,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006734277,FAIL
2392,,08:35.1,10:20.4,0 days 00:01:45.250736,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,7,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006832426,FAIL
2393,,10:20.4,12:03.9,0 days 00:01:43.516495,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008853376,FAIL
2394,,12:03.9,13:48.3,0 days 00:01:44.457251,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,4,,,,,,2,2,6,5,10,10,4,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,5,10,,3,9,8,5,,0.008962002,FAIL
2395,,13:48.3,15:32.0,0 days 00:01:43.672050,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,9,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006742491,FAIL
2396,,15:32.0,17:15.6,0 days 00:01:43.628319,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006880801,FAIL
2397,,17:15.6,18:59.7,0 days 00:01:44.091789,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008792599,FAIL
2398,,18:59.7,20:43.3,0 days 00:01:43.529313,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008754409,FAIL
2399,,20:43.3,22:27.2,0 days 00:01:43.876286,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002650936,FAIL
2400,,22:27.2,24:08.1,0 days 00:01:40.985176,3,96,96,,2,5,,,,,,,,,,,10,8,10,8,,,,,,,2,2,6,4,10,9,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008947712,FAIL
2401,,24:08.1,25:50.4,0 days 00:01:42.221780,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006927279,FAIL
2402,,25:50.4,27:32.4,0 days 00:01:42.003497,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006691803,FAIL
2403,,27:32.4,29:14.4,0 days 00:01:42.029850,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,4,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008138908,FAIL
2404,,29:14.4,30:56.3,0 days 00:01:41.852626,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008744403,FAIL
2405,,30:56.3,32:38.9,0 days 00:01:42.598870,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006665596,FAIL
2406,,32:38.9,34:22.1,0 days 00:01:43.233036,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008838903,FAIL
2407,,34:22.1,36:06.7,0 days 00:01:44.576296,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,8,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008597746,FAIL
2408,,36:06.7,37:51.8,0 days 00:01:45.063609,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008663999,FAIL
2409,,37:51.8,39:36.4,0 days 00:01:44.641614,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,9,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008897852,FAIL
2410,,39:36.4,41:19.6,0 days 00:01:43.247518,3,16,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008971922,FAIL
2411,,41:19.7,43:03.4,0 days 00:01:43.749894,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,8,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.007067498,FAIL
2412,,43:03.4,44:45.4,0 days 00:01:41.979058,3,96,96,,2,5,,,,,,,,,,,8,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002575511,FAIL
2413,,44:45.4,46:28.8,0 days 00:01:43.438801,3,96,96,,2,5,,,,,,,,,,,10,8,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006697166,FAIL
2414,,46:28.8,48:12.5,0 days 00:01:43.688334,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002541834,FAIL
2415,,48:12.5,49:55.6,0 days 00:01:43.075385,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.00904041,FAIL
2416,,49:55.6,51:38.2,0 days 00:01:42.558983,3,96,96,,2,5,,,,,,,,,,,8,7,10,8,,,,,,,2,2,6,5,9,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006614114,FAIL
2417,,51:38.2,53:21.3,0 days 00:01:43.123657,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008813171,FAIL
2418,,53:21.3,55:04.7,0 days 00:01:43.439729,3,96,96,,2,5,,,,,,,,,,,10,7,10,7,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.002575454,FAIL
2419,,55:04.7,56:48.3,0 days 00:01:43.569354,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006734649,FAIL
2420,,56:48.3,58:30.9,0 days 00:01:42.578796,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006834406,FAIL
2421,,58:30.9,00:13.1,0 days 00:01:42.181177,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,9,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.009056654,FAIL
2422,,00:13.1,01:55.1,0 days 00:01:42.033478,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006706471,FAIL
2423,,01:55.1,03:37.7,0 days 00:01:42.577190,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,4,10,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.00702981,FAIL
2424,,03:37.7,05:21.1,0 days 00:01:43.372176,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,10,10,3,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.008818492,FAIL
2425,,05:21.1,07:04.4,0 days 00:01:43.381657,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.00701907,FAIL
2426,,07:04.5,08:46.0,0 days 00:01:41.539172,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,5,,0.006797633,FAIL
2427,,08:46.0,10:27.9,0 days 00:01:41.928805,3,96,96,,2,5,,,,,,,,,,,10,7,10,8,,,,,,,2,2,6,5,9,10,2,7,8,10,,,,,,,,,,,4,6,normal,mixed,mixed,,,4,10,,3,9,8,6,,0.008485628,FAIL
